Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch
Sunrise Multi Steel Pvt. Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Term loans,A 4+,2025-09-24,272.0,HOT,True,,4.50 | 4.51,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Brahm (Alloys) Ltd.,BRICKWORK,Bank Guarantee | Letter Of credit,D,2025-09-25,271.0,HOT,True,,0.50 | 12.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 271.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Madhav Copper Ltd.,CRISIL,Long term Loans,B-,2025-09-25,271.0,HOT,True,,10.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 271.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Jai Durga Iron Pvt. Ltd.,ACUITE | CRISIL,Letter Of credit | Long term Loans,A 4,2026-02-25,270.0,HOT,True,,2.25 | 1.44,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | CRISIL has been INC for 270.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Kansara Popatlal Tibhovandas Metal Pvt. Ltd.,CRISIL,Long term Loans | Term loans,B,2025-09-26,270.0,HOT,True,,5.15 | 3.95,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 270.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Premier Steel Complex Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-09-26,270.0,HOT,True,,11.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 270.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Veeranarayana Metal Alloys Pvt. Ltd.,BRICKWORK | CRISIL,Bank Guarantee,D,2026-03-25,270.0,HOT,True,,0.30,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CRISIL has been INC for 270.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Gupta Metal Sheets Ltd.,CARE,Non-government debt | Term loans,B-/A4,2025-12-29,266.0,HOT,True,,7.00 | 13.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 266.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Metal Scope India Pvt. Ltd.,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,A 4+,2025-09-30,266.0,HOT,True,,20.00 | 27.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 266.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
B K Rolling Mills Pvt. Ltd.,ACUITE,Term loans,B-,2025-10-01,265.0,HOT,True,,0.91,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 265.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
