Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch
Yash Metal Impex Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-12-01,204.0,HOT,True,,4.25,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 204.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Agrasen Iron & Steels Pvt. Ltd.,CARE,Non-government debt,BB+/A4+,2025-12-02,203.0,HOT,True,,9.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 203.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
H M Steels Ltd.,ACUITE | BRICKWORK,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,B,2026-03-05,201.0,HOT,True,,2.00 | 10.07,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | BRICKWORK has been INC for 201.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Mark Alloys Pvt. Ltd.,BRICKWORK,Bank Guarantee | Term loans,A 4,2025-12-04,201.0,HOT,True,,1.00 | 8.80,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 201.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Eagle Steels Rolling Mills Pvt. Ltd.,BRICKWORK | CARE,Bank Guarantee | Letter Of credit,D,2025-12-08,200.0,HOT,True,,0.50 | 8.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE has been INC for 200.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
M P K Steels I Ltd.,CRISIL,Long term Loans | Term loans,D,2026-03-10,200.0,HOT,True,,0.36 | 2.44,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 200.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Matsyodari Steel & Alloys Pvt. Ltd.,CARE | CRISIL,Bank Guarantee | Fund based financial facility/instrument | Non-government debt,BBB/A3+,2026-01-07,200.0,HOT,True,,135.00 | 25.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL has been INC for 200.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shilpa Alloys Pvt. Ltd.,ACUITE,Short-term loan | Term loans,A 4+,2025-12-09,196.0,HOT,True,,0.34 | 9.99,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 196.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Smart Stainless Tubes Pvt. Ltd.,ACUITE | CARE,Bank Guarantee | Term loans,A 4,2026-04-10,196.0,HOT,True,,0.25 | 4.81,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | CARE has been INC for 196.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Delta Iron & Steel Co. Pvt. Ltd.,CRISIL,Letter Of credit,D,2025-12-10,195.0,HOT,True,,182.25,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 195.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Mor Alloys Pvt. Ltd.,ICRA,Non-government debt,B+/A4,2025-12-10,195.0,HOT,True,,16.55,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ICRA has been INC for 195.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sri Raghavendra Ferro Alloys Pvt. Ltd.,ACUITE,Bank Guarantee | Letter Of credit | Long term Loans,D,2025-12-10,195.0,HOT,True,,4.00 | 15.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 195.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Advance Metal Powder Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-12-11,194.0,HOT,True,,3.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 194.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Navneeta Steels Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,D,2025-12-15,190.0,HOT,True,,6.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ICRA has been INC for 190.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Utkal Metallics Ltd.,BRICKWORK | CARE,Bank Guarantee,A 4,2026-02-12,188.0,HOT,True,,0.40,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE has been INC for 188.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Satya Surya Aluminium Inds. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-18,187.0,HOT,True,,4.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 187.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Jai Ganesh Ispat & Ferro Alloys Pvt. Ltd.,IND-RA,Term loans,B-,2025-12-19,186.0,HOT,True,,27.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 186.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Rukmini Iron Pvt. Ltd.,IND-RA,Term loans,D,2025-12-19,186.0,HOT,True,,47.39,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at IND-RA has been INC for 186.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Best Blue Metals,Infomerics,Long Term Fund Based Bank Facility - OD | Long Term Fund Based Bank Facility - Term Loans | Proposed Long Term Fund Based Bank Facility,IVR C+ (INC)(Downgraded),2025-12-19,186.0,HOT,True,Infomerics,Rs. 4.00 Cr. | Rs. 11.95 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 180-365 days — approaching renewal,Your steel company's rating at Infomerics has been INC for 186.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
A One Steels India Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2025-12-22,183.0,HOT,True,,5.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 183.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Pragati Ingots & Power Pvt. Ltd.,CRISIL,Long term Loans | Term loans,B+,2025-12-22,183.0,HOT,True,,5.20 | 0.60,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 183.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Maa Bhagawati Re-Rolling Mills Pvt. Ltd.,CARE | IND-RA,Term loans,B-,2026-01-16,182.0,HOT,True,,2.28 | 7.41,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | IND-RA has been INC for 182.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Swastika Steel & Allied Products Pvt. Ltd.,CRISIL,Bank Guarantee | Long term Loans,A 4,2025-12-23,182.0,HOT,True,,0.80 | 8.90,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 182.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Shriram Power & Steel Pvt. Ltd.,BRICKWORK | CRISIL,Bank Guarantee,A 4,2025-12-26,181.0,HOT,True,,0.60 | 5.60,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CRISIL has been INC for 181.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sri Venkatesh Iron & Alloys (India) Ltd.,ACUITE | BRICKWORK,Bank Guarantee | Long term Loans,A 3+,2026-03-25,181.0,HOT,True,,2.50 | 7.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | BRICKWORK has been INC for 181.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sun Rolling Mills Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-24,181.0,HOT,True,,1.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 181.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Kalisma Steel Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,D,2025-12-26,179.0,MEDIUM,True,,122.19 | 70.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at BRICKWORK went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Shri Ambika Metaliks Pvt. Ltd.,BRICKWORK,Bank Guarantee | Letter Of credit,A 4,2025-12-30,175.0,MEDIUM,True,,1.50 | 0.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at BRICKWORK went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Tankeshwari Metal Powder Products Pvt. Ltd.,BRICKWORK | CRISIL,Fund based financial facility/instrument | Non-government debt | Term loans,A 4,2026-02-10,166.0,MEDIUM,True,,1.35 | 2.61,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at BRICKWORK | CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Thalaivar Steels Ltd.,CARE,Bank Guarantee | Term loans,D,2026-01-09,165.0,MEDIUM,True,,269.13 | 1095.79,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CARE went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
JS Auto Cast Foundry India Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR B+ (INC)(Downgraded),2026-01-09,165.0,MEDIUM,True,Infomerics,Rs. 39.25 Cr. | Rs. 14.50 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 90-180 days — pre-renewal window,Your rating at Infomerics went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Millenium Steel India Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR C+ (INC)(Downgraded),2026-01-09,165.0,MEDIUM,True,Infomerics,Rs. 9.00 Cr. | Rs. 16.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 90-180 days — pre-renewal window,Your rating at Infomerics went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Bharat Steel Yard Pvt. Ltd.,CRISIL,Fund based financial facility/instrument | Letter Of credit | Long term Loans,B,2026-01-12,162.0,MEDIUM,True,,5.00 | 6.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Barnala Steel Inds. Pvt. Ltd.,CRISIL,Term loans,D,2026-01-13,161.0,MEDIUM,True,,6.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
S K P Steel Inds. Pvt. Ltd.,ACUITE,Bank Guarantee | Long term Loans | Term loans,A 4,2026-01-13,161.0,MEDIUM,True,,0.75 | 0.21,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at ACUITE went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Anant Steels Pvt. Ltd.,IND-RA,Term loans,B-,2026-01-16,158.0,MEDIUM,True,,6.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at IND-RA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Bajrang Steel & Alloys Pvt. Ltd.,IND-RA,Term loans,B,2026-01-16,158.0,MEDIUM,True,,14.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at IND-RA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Jainex Metaliks Ltd.,IND-RA,Non-government debt,D,2026-01-16,158.0,MEDIUM,True,,7.05,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at IND-RA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Kaizen Cold Formed Steel Pvt. Ltd.,CARE | IND-RA,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument,B-/A4,2026-02-03,158.0,MEDIUM,True,,11.07 | 1.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CARE | IND-RA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Kannappan Iron & Steel Co. Pvt. Ltd.,IND-RA,Non-government debt,B/A4,2026-01-16,158.0,MEDIUM,True,,63.40,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at IND-RA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Puneet Iron & Steel Pvt. Ltd.,IND-RA,Non-government debt,B-/A4,2026-01-16,158.0,MEDIUM,True,,22.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at IND-RA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Sagar Metallics Pvt. Ltd.,CARE | IND-RA,Non-government debt | Term loans,B-/A4,2026-02-12,158.0,MEDIUM,True,,13.39 | 11.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CARE | IND-RA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Sun Steel Inds. Pvt. Ltd.,IND-RA,Non-government debt,B-/A4,2026-01-16,158.0,MEDIUM,True,,17.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at IND-RA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
V S Metallic Pvt. Ltd.,IND-RA,Non-government debt,D,2026-01-16,158.0,MEDIUM,True,,20.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at IND-RA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Jayalakshmi Alloys India Pvt. Ltd.,BRICKWORK,Bank Guarantee | Term loans,D,2026-01-20,154.0,MEDIUM,True,,1.00 | 1.25,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at BRICKWORK went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Neelkamal Steels Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument | Term loans,A 4,2026-01-20,154.0,MEDIUM,True,,5.00 | 10.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at ICRA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
R K Steel Udyog Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,A 4+,2026-02-06,153.0,MEDIUM,True,,3.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
D R Steel Construction Company Private Limited,Infomerics,Long Term Facility | Short Term Facility,IVR BB (INC)(Downgraded),2026-01-21,153.0,MEDIUM,True,Infomerics,Rs. 15.00 Cr. | Rs. 10.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 90-180 days — pre-renewal window,Your rating at Infomerics went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Sun-Power Metalics Pvt. Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,D,2026-01-22,152.0,MEDIUM,True,,50.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at BRICKWORK went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Alankar Alloys Private Limited,Infomerics,Long Term Bank Facility | Short Term Bank Facilities (Proposed),IVR BB+ (INC)(Downgraded),2026-01-22,152.0,MEDIUM,True,Infomerics,Rs. 64.90 Cr. | Rs. 1.10 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 90-180 days — pre-renewal window,Your rating at Infomerics went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Sourabh Rolling Mills Private Limited,Infomerics,Long Term Bank Facility,IVR BB+ (INC)(Downgraded),2026-01-22,152.0,MEDIUM,True,Infomerics,Rs. 49.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 90-180 days — pre-renewal window,Your rating at Infomerics went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Arco Steel Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument | Letter Of credit | Term loans,D,2026-01-23,151.0,MEDIUM,True,,2.09 | 22.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at BRICKWORK went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Scorodite Stainless India Pvt. Ltd.,CRISIL,Bank Guarantee | Letter Of credit | Term loans,D,2026-01-23,151.0,MEDIUM,True,,2.00 | 9.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Amar Partap Steel Private Limited,Infomerics,Long Term Facilities,IVR BB+ (INC)(Downgraded),2026-01-23,151.0,MEDIUM,True,Infomerics,Rs. 63.70 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 90-180 days — pre-renewal window,Your rating at Infomerics went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Prragathi Steel Castings Pvt. Ltd.,CRISIL,Letter Of credit | Term loans,B,2026-01-27,147.0,MEDIUM,True,,1.12 | 7.10,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Smita Steels Rolling Mills Pvt. Ltd.,CRISIL | IND-RA,Letter Of credit | Long term Loans | Non-government debt,A 4,2026-04-02,147.0,MEDIUM,True,,5.00 | 0.11,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL | IND-RA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Eagle Steels Rolling Mills Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR D (INC)(Reaffirmed),2026-01-28,146.0,MEDIUM,True,Infomerics,Rs. 39.50 Cr. | Rs. 2.50 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 90-180 days — pre-renewal window,Your rating at Infomerics went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Chetan Alloys Pvt. Ltd.,IND-RA,Non-government debt,D,2026-01-29,145.0,MEDIUM,True,,10.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at IND-RA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Insco Steels Pvt. Ltd. [Merged],CARE,Letter Of credit,D,2026-01-29,145.0,MEDIUM,True,,225.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CARE went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Panesar Steel & Power Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2026-01-29,145.0,MEDIUM,True,Infomerics,Rs. 33.63 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 90-180 days — pre-renewal window,Your rating at Infomerics went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Brahmaputra Metallics Ltd.,ACUITE | CARE,Letter Of credit | Term loans,D,2026-02-04,144.0,MEDIUM,True,,44.86 | 26.51,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at ACUITE | CARE went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Monga Iron & Steel Pvt. Ltd.,CRISIL,Long term Loans,D,2026-01-30,144.0,MEDIUM,True,,6.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Environ Speciality Chemicals Pvt. Ltd.,CARE | CRISIL,Non-government debt | Term loans,BB+,2026-04-07,143.0,MEDIUM,True,,4.16 | 76.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CARE | CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Patna Iron Pvt. Ltd.,CRISIL,Long term Loans,B,2026-01-31,143.0,MEDIUM,True,,5.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Prabodh Steel Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR B (INC) (Downgraded),2026-02-02,141.0,MEDIUM,True,Infomerics,Rs. 33.52 Cr. | Rs. 2.00 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 90-180 days — pre-renewal window,Your rating at Infomerics went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Shree Parashnath Re-Rolling Mills Ltd.,CARE,Bank Guarantee | Term loans,D,2026-02-05,138.0,MEDIUM,True,,53.92 | 54.95,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CARE went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Shubh Aluminium Pvt. Ltd.,CARE,Non-government debt,C/A4,2026-02-06,137.0,MEDIUM,True,,14.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CARE went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Vimla Fuels & Metals Limited,Infomerics,Long Term Bank Facilities | Long Term Bank Facilities- Proposed | Short Term Bank Facilities,IVR D (INC),2026-02-10,133.0,MEDIUM,True,Infomerics,Rs. 14.95 Cr. | Rs. 50.30 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 90-180 days — pre-renewal window,Your rating at Infomerics went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Brahampuri Steels Ltd.,ACUITE,Letter Of credit | Long term Loans,A 4,2026-02-11,132.0,MEDIUM,True,,7.00 | 0.74,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at ACUITE went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Kalika Steel Alloys Pvt. Ltd.,CARE,Bank Guarantee | Letter Of credit | Term loans,A 4,2026-04-01,132.0,MEDIUM,True,,20.00 | 70.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CARE went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Divine Alloys & Power Co. Ltd.,ICRA,Non-government debt | Term loans,D,2026-02-13,130.0,MEDIUM,True,,0.91 | 361.34,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at ICRA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Addi Alloys Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2026-02-16,127.0,MEDIUM,True,,3.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at ICRA went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Shivshiva Steel Pvt. Ltd.,CARE,Term loans,B-,2026-02-16,127.0,MEDIUM,True,,21.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CARE went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Anil Steels Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2026-02-20,123.0,MEDIUM,True,,11.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Jai Hind Wire Rod Mills Pvt. Ltd.,CARE,Bank Guarantee | Letter Of credit | Term loans,B,2026-02-20,123.0,MEDIUM,True,,0.25 | 15.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CARE went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Prakash Steelage Ltd.,CARE,Bank Guarantee | Fund based financial facility/instrument,D,2026-02-20,123.0,MEDIUM,True,,70.00 | 150.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CARE went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Rukmani Power & Steel Pvt. Ltd.,BRICKWORK,Non-government debt,C,2026-02-20,123.0,MEDIUM,True,,8.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at BRICKWORK went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Durgapur Iron & Steel Co. Pvt. Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Short-term loan,A 4,2026-02-23,120.0,MEDIUM,True,,12.00 | 24.70,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
K G Iron & Steel Castings Pvt. Ltd.,CRISIL,Long term Loans | Term loans,B-,2026-02-23,120.0,MEDIUM,True,,2.00 | 4.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Thames Steels Pvt. Ltd.,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,D,2026-02-24,119.0,MEDIUM,True,,2.00 | 36.10,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at BRICKWORK went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
A D Electro-Steel Co. Pvt. Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument,A 4,2026-02-25,118.0,MEDIUM,True,,3.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at CRISIL went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
New Steel Trdg. Pvt. Ltd.,BRICKWORK,Bank Guarantee | Letter Of credit,D,2026-02-25,118.0,MEDIUM,True,,1.00 | 17.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at BRICKWORK went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
Sree Ramakrishna Alloys Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2026-02-25,118.0,MEDIUM,True,,20.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 90-180 days — pre-renewal window,Your rating at BRICKWORK went INC recently. ACER can step in with a fresh rating before your next instrument needs funding.
