Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC,Sector,Why Target,ACER Pitch Angle
Nainital Motors Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,02-04-2026,LOW,Y,Manufacturing,INC with IND-RA — not cooperating; switch needed,"INC blocks bank financing; ACER vs IND-RA: faster, more responsive, India-focused"
Paragon Apparel Pvt. Ltd.,Letter Of credit,CRISIL,D,13-04-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Goel Scientific Glass Works Ltd.,Term loans,CARE,B-,13-04-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Pebco Motors Ltd.,Fund based financial facility/instrument,CRISIL,B,10-04-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
J M Ferro Alloys Pvt. Ltd.,Letter Of credit,CARE,D,10-04-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
United Engineering Inds. Pvt. Ltd.,Term loans,ACUITE,D,15-04-2026,LOW,Y,Manufacturing,INC with ACUITE — not cooperating; switch needed,"INC blocks bank financing; ACER vs ACUITE: faster, more responsive, India-focused"
Special Ceramics Pvt. Ltd.,Term loans,ACUITE,B-,15-04-2026,LOW,Y,Manufacturing,INC with ACUITE — not cooperating; switch needed,"INC blocks bank financing; ACER vs ACUITE: faster, more responsive, India-focused"
Anmol Industries Ltd.,Short-term loan,CRISIL,A 4,15-04-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Azam Rubber Products Pvt. Ltd.,Non-fund-based financial facility/instrument,CARE,D,15-04-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Andhra Ferro Alloys Ltd.,Non-fund-based financial facility/instrument,ICRA,D,10-04-2026,LOW,Y,Manufacturing,INC with ICRA — not cooperating; switch needed,"INC blocks bank financing; ACER vs ICRA: faster, more responsive, India-focused"
Senbo Engineering Ltd.,Bank Guarantee,CARE,D,10-04-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Fibro Plastichem (India) Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,10-04-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Rishi Auto Sales Pvt. Ltd.,Fund based financial facility/instrument,BRICKWORK,C,10-04-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
K O S C Industries Pvt. Ltd.,Letter Of credit,ACUITE,D,14-04-2026,LOW,Y,Manufacturing,INC with ACUITE — not cooperating; switch needed,"INC blocks bank financing; ACER vs ACUITE: faster, more responsive, India-focused"
Shri Ram Autotech Pvt. Ltd.,Fund based financial facility/instrument,CARE,D,14-04-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Cee Dee Vacuum Equipment Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,13-04-2026,LOW,Y,Manufacturing,INC with ACUITE — not cooperating; switch needed,"INC blocks bank financing; ACER vs ACUITE: faster, more responsive, India-focused"
Vazron Industries Pvt. Ltd.,Term loans,CARE,B+,13-04-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
