Company Name,Total_Cr,Records,Agencies,Instruments,Quarters,Earliest_Escalation,Priority_Score,Dual_Quarter
Backbone Construction Pvt. Ltd.,38.86,3,CRISIL,Bank Guarantee / Fund-Based / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Strongbuilt Constructions Pvt. Ltd.,37.5,3,ACUITE,Bank Guarantee / Letter Of credit / Short-term loan,Q2 2027,Apr 2027,3,Single Quarter
Sun N Wind Infra Energy Private Limited,37.0,1,Infomerics,Long Term Bank Facilities,Q1 2027,Dec 2026,5,Single Quarter
N P Infraprojects India Pvt. Ltd.,37.0,1,IND-RA,Fund-Based,Q1 2027,Dec 2026,5,Single Quarter
Bagkiya Constructions Pvt. Ltd.,36.0,3,ACUITE,Bank Guarantee / Letter of Credit,Q1 2027,Dec 2026,4,Single Quarter
Sandwoods Infratech Projects Pvt. Ltd.,35.4,1,BRICKWORK,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Siri Constructions Infrastructure Pvt. Ltd.,35.0,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Bahl Builders Pvt. Ltd.,35.0,2,CARE,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Kavya Build-Con Pvt. Ltd.,35.0,1,CRISIL,Term loans,Q2 2027,Apr 2027,3,Single Quarter
OP Gupta Contractor Private Limited,35.0,2,Infomerics,Long Term Bank Facility / Short Term Bank Facility,Q1 2027,Dec 2026,5,Single Quarter
Santhosh Buildwel Infra Pvt. Ltd.,34.5,2,ACUITE,Bank Guarantee / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Space Age Associates Power-Infra Pvt. Ltd.,33.5,3,CRISIL,Bank Guarantee / Fund-Based / Letter of Credit,Q1 2027,Dec 2026,5,Single Quarter
D P Jain Dariapur-Jasondhi (Annuity) Road Projects Pvt. Ltd.,32.52,1,CARE,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Begorra Infrastructure & Developers Pvt. Ltd.,32.5,1,BRICKWORK,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
S N S Infracon Pvt. Ltd.,32.5,1,CRISIL,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Baibhaw Construction Pvt. Ltd.,31.0,2,CRISIL,Bank Guarantee / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Rajinder Infrastructure Pvt. Ltd.,30.0,1,ACUITE,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Khokhar Infrastructure Pvt. Ltd.,30.0,1,IND-RA,Non-fund based working capital limit,Q2 2027,Apr 2027,3,Single Quarter
Fastbuild Blocks Private Limited,29.5,2,Infomerics,Long Term Bank Facilities,Q1 2027,Feb 2027,2,Single Quarter
Gujarat Agro Infrastructure Mega Food Park Pvt. Ltd.,29.17,1,CRISIL,Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Anil Buildcon India Private Limited,28.6,2,Infomerics,Long Term /Short Term Bank Facility / Short Term Bank Facility,Q1 2027,Feb 2027,2,Single Quarter
NK Construction Group,28.28,2,Infomerics,Long Term Facilities / Short Term Facilities,Q1 2027,Dec 2026,5,Single Quarter
Niladree Build-Tech Pvt. Ltd.,27.56,3,CRISIL + IND-RA,Letter of Credit / Term Loan / Term loans,Q1 2027 + Q2 2027,Apr 2027,5,Both Q1+Q2
Sattva Engineering Construction Ltd.,27.5,1,BRICKWORK,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Sew Bellary Highways Ltd.,27.43,1,BRICKWORK,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Gayatri Infrastructure Ltd.,25.11,2,CRISIL,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Vamica Resorts Infra Limited,25.0,1,Infomerics,Long Term Instruments  Non-Convertible Debenture- Proposed,Q1 2027,Feb 2027,3,Single Quarter
Amit Buildwell Private Limited,25.0,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Jan 2027,3,Single Quarter
Nasim Ahsan Construction Pvt. Ltd.,25.0,1,CARE,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Singla Builders & Promoters Ltd.,23.38,1,BRICKWORK,Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Himalayan Road Construction Pvt. Ltd.,23.0,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Ocean Constructions (India) Pvt. Ltd.,23.0,2,ICRA,Non-fund-based financial facility/instrument / Term loans,Q2 2027,Apr 2027,3,Single Quarter
